region_6075047801,422641
region_6075012800,631157
region_6075021400,197449
region_6075025100,537120
region_6075042602,411678
region_6075023001,438068
region_6075030900,1019340
region_6075013101,230816
region_6075980300,1559677
region_6075022901,200111
region_6075031000,574070
region_6075031202,285124
region_6075047802,348266
region_6075022903,450603
region_6075023200,336051
region_6075042601,240419
region_6075013300,568296
region_6075040200,781456
region_6075013102,133995
region_6075011700,5145165
region_6075015200,316695
region_6075033204,115811
region_6075021600,172001
region_6075025300,882494
region_6075023003,142054
region_6075017601,4940463
region_6075022902,77329
region_6075060502,378778
region_6075031201,588492
region_6075060700,3240658
region_6075021200,193329
region_6075011300,488243
region_6075015600,333428
region_6075980501,293287
region_6075033201,992540
region_6075035300,406899
region_6075025701,388664
region_6075032902,158898
region_6075023400,374522
region_6075013500,394130
region_6075017000,150489
region_6075010800,1983885
region_6075020900,938101
region_6075033203,169721
region_6075035100,510660
region_6075031400,635427
region_6075060100,1132232
region_6075016900,1288097
region_6075033000,541064
region_6075025702,794750
region_6075011100,610409
region_6075032901,309241
region_6075015400,5766393
region_6075021000,70255
region_6075025500,1405339
region_6075023102,211748
region_6075023300,146352
region_6075017700,3946217
region_6075013200,346612
region_6075047902,444063
region_6075022803,71710
region_6075031301,170517
region_6075022802,558423
region_6075012902,500311
region_6075042700,652780
region_6075015300,292139
region_6075025200,249661
region_6075021700,312048
region_6075023103,283121
region_6075030800,2478286
region_6075021500,282593
region_6075015100,418277
region_6075047901,793464
region_6075060400,566930
region_6075031302,609599
region_6075022801,3925392
region_6075012901,270017
region_6075031100,567568
region_6075035400,872139
region_6075980200,174725
region_6075040100,416585
region_6075013000,355734
region_6075016801,1138278
region_6075010900,413837
region_6075035202,655639
region_6075020800,664359
region_6075013400,292174
region_6075025401,462792
region_6075980600,93296
region_6075015500,668348
region_6075011000,623404
region_6075032801,323448
region_6075021100,207909
region_6075017101,147156
region_6075033100,342604
region_6075016802,1377592
region_6075035201,251438
region_6075025600,382935
region_6075021300,144542
region_6075015700,1016071
region_6075011200,409393
region_6075025402,144788
region_6075032802,187038
region_6075025403,456134
region_6075017102,336720
region_6075020402,618160
region_6075012301,325797
region_6075020600,361430
region_6075010700,746506
region_6075030201,427146
region_6075032601,688628
region_6075016600,458211
region_6075020401,982435
region_6075012302,373409
region_6075012100,260176
region_6075016400,190735
region_6075030202,819661
region_6075015900,492492
region_6075025800,471315
region_6075018000,1263352
region_6075061500,10406415
region_6075032602,186790
region_6075010500,2515197
region_6075061100,503005
region_6075026303,232116
region_6075047702,193570
region_6075010100,3278289
region_6075012501,1831758
region_6075016000,273990
region_6075026100,5921173
region_6075045100,427465
region_6075026302,468175
region_6075030400,1615448
region_6075011800,178912
region_6075030600,344083
region_6075022600,2678070
region_6075047701,508060
region_6075012700,274073
region_6075016200,260191
region_6075012502,52681
region_6075010300,269329
region_6075020200,827911
region_6075026301,462888
region_6075017902,367063
region_6075026004,153704
region_6075030302,224500
region_6075025900,105554
region_6075016500,386891
region_6075012000,252873
region_6075012202,364667
region_6075010400,243068
region_6075020500,1293239
region_6075026401,201244
region_6075015801,474085
region_6075061400,676300
region_6075030101,767213
region_6075032700,560786
region_6075980900,7998147
region_6075030301,433884
region_6075026403,464204
region_6075020700,51148
region_6075010600,336176
region_6075012201,213099
region_6075016700,431388
region_6075026402,414551
region_6075022704,254520
region_6075015802,251471
region_6075030102,200774
region_6075026002,142780
region_6075045200,669572
region_6075012402,2208787
region_6075026200,412935
region_6075016300,203727
region_6075030700,180876
region_6075011902,194780
region_6075061200,798378
region_6075017802,769088
region_6075012601,84173
region_6075047600,578434
region_6075010200,1479648
region_6075026003,188278
region_6075020300,1568439
region_6075026001,317815
region_6075012401,92320
region_6075020100,1808310
region_6075061000,508873
region_6075011901,67961
region_6075021800,238078
region_6075030500,2380076
region_6075017801,167255
region_6075026404,57364
region_6075042800,104931
region_6075012602,363373
region_6075022702,238249
region_6075016100,441654
